Glimpse of Review,Review
Just okay,Happy i got replacement from flipkart. Installation done very quickly now my device starts normally. But still during dark background white patch back light glittering at top screen. I am very disappointed from Nokia. Sound speakers done good job by jbl. Mobile screen cast not working perfectly wifi connectivity signal bandwidth very low. Totally average TVREAD MORE
Did not meet expectations,money waste to TVREAD MORE
Absolute rubbish!,"Do not buy it totally a Chinese product or worst . after 15 days of purchase its shows a problem of screen bleeding and company doesn't considered it a problem ,black color is faded white light appear at different spot , this is problem is not only occurring in my ,this is almost in all the TV of Nokia .NEW PROBLEM it being 2.5 month now TV doesn't start . if it start it shows different color pattern , no solution to that yet now its being 2 complain and 7 to 8 daysWORST SERVICE first you c...READ MORE"
Terrific,"Purchased this few days ago and getting good results.Sounds are extremely good. You can easily connect to wifi and access netflix, YouTube and other popular channels.Happy with the product.READ MORE"
Delightful,The tv is really good in terms of connectivity and sound quality.. having used the Motorola tv there is a lot of improvements in terms of video quality and sound quality. But there is slight screen bleeding problems ..but it doesn't affect the picture quality .. as it's a dled tv it's quite good interms of performance.. overall a deal breaker at this price point and feature packedREAD MORE
Excellent,excellent quality TV thanks flipkart and NokiaREAD MORE
Wonderful,200% okREAD MORE
Fabulous!,Everything is just perfect✌Its worth  to spend Money🤘go for it #NOKIA rocks✌ Thanks A lot Nokia JBL and Flipkart for making this product✌🤘READ MORE
Good choice,Still exploring the product. But seems good prima facie.READ MORE
Useless product,"I am not happy with product since we got I am having trouble while turning on we can’t open tv from the remote we need to turn on button back of the tv which is I never ever seen before we have lg tv 43 inch it’s been 3 years it’s amazing, I spend this much money and I am having this trouble , I had one  Nokia phone in 2018 , after six months screen gone , that was worst . I will not recommend to anyone to buy this  tvREAD MORE"
Delightful,"I bought this after lot of research i was in fix whether to go for mi or Nokia but I'm actually satisfied ,the only thing that looks like a problem is screen bleeding . Other than that everything is good screen mirroring is awesome . I was unable to connect USB to my mobile don't know why . Picture quality is beyond my expectation. Hope screen bleeding doesn't get worse as time passes . It's my 2 days experienceREAD MORE"
Does the job,"my nokia led tv not working after 2 months usage onlynokia android is not showing at start / bootdifferent colours on screen coming seems software issue and i can not change or control anything on tv via tv remote please depute someone for the repair.address - Anil kr kushan  h.no 536 nai basti b-14 , bijnor 246701 (U.P )READ MORE"
Nice product,App video audio sync should be done accurately . fix the video delay in apps like hotstat Netflix etc in update .READ MORE
Brilliant,"Sound is just awesome, I didn’t find any issue . Everything is upto the mark. You can blindly go for it.READ MORE"
Good quality product,Good product from Nokia but not compare with premium tvsREAD MORE
TV is just OK but not the Perfect.,"First of all thumbs up to Flipkart, NOKIA and JBL for such a budget friendly TV with all the latest features and specs.Below are some of my findings after using the TV for 3 weeks,Pros: 1.With this price segment TV is just OK but not perfect.2.Awesome sound quality, JBL has done its job.3.Bluetooth and wifi connectivity is good.Does not face any issues yet.4.Picture quality is awesome specially for HD Videos and channels.Cons:1.Audio and Video is out of sync specially in movies cha...READ MORE"
Value-for-money,This is extremely good quality TV .. love it...READ MORE
Brilliant,TV is excellent and fast when compared to even samsung smart TV. There are some screen bleeding issues which company should replace on its suo motto. Rest Tv is Good in this budget.READ MORE
Really Nice,it's Gud TV in this price...READ MORE
Excellent,"What to expect from NOKIA , quality and performance, absolutlyREAD MORE"
Worth the money,best in segment.😍😍😍😍 good job nokiaREAD MORE
Super!,Excellenttopest qualityREAD MORE
Excellent,awasome..... all goodREAD MORE
Pretty good,"There are some minor lags, I'm having screen bleeding issue, otherwise the tv is good, color contrasts and dynamic range is nice and the price makes it worth it.READ MORE"
Worth the money,Good part is picture and sound quality. Bad part is HDMI (ARC) is not available. connectivity problem faced while connect with Bluetooth.READ MORE
Classy product,excellent tv ..just go for itREAD MORE
Highly recommended,HappyREAD MORE
Just wow!,fantabulous performance... wat a pic quality really Nokia done a great job. amazing sound effects....READ MORE
Useless product,14 months in use from Aug-2020 to Oct-2021 and the TV panel is gone. Sound without display. TV is booting up but nothing is displayed on the screen. 10% brightness is still there on the screen while TV is ON. Bought this because of the brand name behind the product but due to the issue found out that Nokia is not manufacturing the product but it is Flipkart who has taken Frenchies for manufacturing in the name of Nokia that's why the product service is with Flipkart only.So basically it's...READ MORE
Useless product,Not even 2 years already Display is gone. don't buy it. worst product. i thought Nokia is best but not now. cheap quality.READ MORE
Unsatisfactory,Worst tv within 9months panal problem cameREAD MORE
Don't waste your money,"Worst worst product, don't buy nokia tv,it's totally worst  customer service centerREAD MORE"
Don't waste your money,stopped workingREAD MORE
Terrible product,Don't buy this tv waste of moneyAfter using 7 months it's screen goes blankAfter 30 minuts useREAD MORE
Never BUY,Within 11 months product is showing severe problems. Lets see if waranty can be hlepful or not.READ MORE
Not recommended at all,Panel issue in 1.5 years no any replacement facility by nokia Nokia tv is very very bad product. Plz guys donot buy this TvREAD MORE
Waste of money!,Within 11 month the TV created issue and I could not able to use it . The TV was within 12 month manufacturer warranty and I had a additional warranty for next 2 yrs proposed by Flipkart. The issue is hanging for past 2 month. So many guys talked to me repeatedly asking the issue from beginning but no solution till now. They keep saying non sense reason one at a time. The helpline excecutive are useless and clueless. There is no proper escalllation mechanism the guys will keep talking to you ...READ MORE
Worst experience ever!,Such a useless tv don't buy especially nokia from these flipkart appREAD MORE
Hated it!,There are black patches visible  on screen .we are facing trouble while seeing on led.please refund my amount as I feel cheated on spending such huge amount .READ MORE
Not good,Worst got black dot on the screen within 6months Screen panel quality issuesREAD MORE
Worth the money,"As i purchased the product in October month, i feel in this price i got magical quality HD TV in terms of voice & clarity of pictureREAD MORE"
Fabulous!,The sound quality is just amazing totally worth the price Jbl stands for its nameREAD MORE
Slightly disappointed,Small dot in the displayREAD MORE
Super!,I am very sorry for installation this product to more 5 days.so iam unhappy to this installation system and your installation policy.rest is excellent .Also your customer services/Assistant not supported this.all r fail.so I am also sorry for your customers assistance.thamk youREAD MORE
Pretty good,"Very happy with this TV. Was a bit confused since Nokia was new to Television market but seems to be a good buy. Did a lot of research comparing, Philips, Samsung, LG, One Plus and finally decided on Nokia and don’t regret the decision. This has almost all the features you need in a smart tv. It makes my chromecast and fire tv stick redundant. Picture quality is good, sound with JBL is amazing, I dont think any other TV in this price range or even upto 50% higher has this quality of sound. De...READ MORE"
Did not meet expectations,Defective product provided and no proper response from flip kart and Jeevs in spite of repeated requests. No response for replacement of product.READ MORE
Terrible product,"Everything is good except WiFi connectivity issue. I need to connection manually mostly after switch on this TV. After using around 10 months, black spot are displaying on TV.READ MORE"
Classy product,Nice viewing experienceREAD MORE
Perfect product!,Good product awesome sound qualityREAD MORE
Wonderful,Excellent TV with amazing sound quality. Picture quality is also appreciable.READ MORE
Really Good Purchase,"I purchased this product after a lot of research and confusion. I was confused about Motorola, Nokia, LG and Samsung. But This product is terrific. I would say go for this one and you wont regretREAD MORE"
Brilliant,I bought the TV based on review.  Post deliver the unit i found it is a amazing product. From delivery to product quality too good. Really value for money. Me and my family is too happy. Specially i want to mention any blurry picture i did not found.READ MORE
Best in the market!,I very happyREAD MORE
Classy product,"Hlw I am SAMPAD,from Midnapore (WB)....Wow osm tv.... picture clarity 4k...sound is osm....and yesterday deliver complete and today installation done....thanks flipkart,thanks nokia,thanks Jeeves...READ MORE"
Wonderful,"Awesome TVCost effectiveGot sbi credit card offerTimed delivery and installationPurchased with protection cover for 3 yearsHappy with the selectionThanks nokia,flipkart,jbl and jeevesREAD MORE"
Terrific,Best budget TV...just go for it.READ MORE
Horrible,Huge issue with light leaks at the edges. And it has increased over time.READ MORE
Hated it!,Waste productREAD MORE
Wonderful,Good sound and pictureREAD MORE
Bad quality,"Sound and lip syncing issues, which is very irritating and kills the concentration.READ MORE"
Expected a better product,Today Nokia 55 inch Tv delivered and Evening start the Display Problem.One Day Display Problem.READ MORE
Wonderful,Value of money. at this range the quality of picture and audio is awesome.READ MORE
Worthless,WorstREAD MORE
Just okay,Very bright whenever starting tv and colour adjustments/brightness not showing all times. Some errors are theirREAD MORE
Wonderful,Product is wonderfulFirstly i got a damaged product then after 12days my product was replaced.Installation person came on the same day.I am happy choosing nokia tvBut not really satisfied with sellers serviceREAD MORE
Good Product,"Was hesitating to purchase Nokia, but got good product specially sound quality.READ MORE"
Brilliant,Good for the priceREAD MORE
Fabulous!,Very good 📺READ MORE
Very poor,Black light bleeding issue I can seeREAD MORE
Excellent,"After waiting for 40 days,nokia has replaced my tv. Thank you nokia,thank you flipkart.READ MORE"
Excellent,NICEREAD MORE
Pretty good,Nice product and value for money it is good product as compare to this price 💵I'm happy😊but I face some connectivity problem but still not very poorREAD MORE
Nice product,Difficulty in connecting bluetooth devices. Overall good quality product.READ MORE
Did not meet expectations,Best sound quality and pictureREAD MORE
Wonderful,Picture and sound clarity is amazing... good product from Nokia..READ MORE
Could be way better,👎I dissopointed to there is no HDMI (ARC) port 👎So We can't connect  home theater (sound bar) through HDMI ARC PORT..! Nokia tv is better than mi 4x pro xlent performance 🤟 🔥 🔥 🔥READ MORE
Will Not Recommended To Anyone,"Facing lot of issue on start up, some times its not getting start,  some times UI hangs, some times wifi gets disconnected, there are lot of these kinds of issues that are occurring, there is no pattern, so will call for repairer soon.READ MORE"
Super!,Value for money product1)Fast Delivery & Installation.2)Sound Quality is ansome.3)4K pannel of this tv is good.4)You Should purchase a stabilizer for this tv.5)It support only 2.4GHz Wifi.READ MORE
Not good,Not badREAD MORE
Terrific,Best TV I've used till now.Best sound all goes to JBLPicture quality bestConnectivity  bestUser interface so easy  OverallAs expected according to the brand name*NOKIA*READ MORE
Classy product,Good installation support.READ MORE
Worth every penny,Very  nice I'm full satisfiedREAD MORE
Worth every penny,"Value for money ,good qualityREAD MORE"
Terrific purchase,Everything is superb except screen bleeding issueREAD MORE
Mind-blowing purchase,Excellent tv on all aspects and affordable .READ MORE
Excellent,"Very satisfied, it is NOKIA, no doubt there is a brand you can trust.READ MORE"
Mind-blowing purchase,Excellent TV. Overall very goodREAD MORE
Terrific,Picture and sound quality are really good. But having some connectivity issues.READ MORE
Wonderful,AwesomeREAD MORE
Awesome,"It's great, I didn't face any issues!READ MORE"
Brilliant,In this price range this is perfect tvREAD MORE
Perfect product!,Great product by Nokia at amazing priceREAD MORE
Mind-blowing purchase,excellent productREAD MORE
Perfect product!,"JBL sound effect excellent, good product with NokiaREAD MORE"
Really Nice,All good except screen bleedingREAD MORE
Worth every penny,Excellent sound & awesome pictureREAD MORE
Highly recommended,My first led tv...awesome sound & picture quality at this price.READ MORE
Fabulous!,Excellent product sounds excellent quality picture quality is very good... Display light light wait pichse but owarall is excellent til nowREAD MORE
Bad quality,Backlight bleeding and some times tv switch off automatic. Trusted on Nokia brand but not happy with the product.READ MORE
Highly recommended,Really very good display and sounds ultimate by JBL. Over all very good experience. 👌👌👌READ MORE
Worth every penny,it's awesomeREAD MORE
Useless product,A complete package to waste your money.Got backlight bleeding issue in my tvREAD MORE
Value-for-money,Amazing sound and picture quality. Worth for money. A tiny white patch on the left corner though only noticable when the screen is black. You can test it by playing a screen bleeding test video on youtube.READ MORE
Terrific,Good product. Excellent service of FLIPKARTREAD MORE
Best in the market!,Stunning picture quality and crystal clear audio experience within budget. Hope the quantity remains stable after long use.READ MORE
Wonderful,"excellent tv but we dont have option to select custom colors other than the colour modes default provided. its not updating os,though i have downloaded 900mb of software twice.READ MORE"
Best in the market!,good experienceREAD MORE
Worth every penny,TV installation and demo of tv has been given by anil kumar over all experience was good 🙂READ MORE
Best in the market!,Excellent picture quality and sound quality.Speed performance.😍🔥READ MORE
Terrific purchase,good.....READ MORE
Fabulous!,don't think just buy !!!!READ MORE
Worth every penny,The product is really good but there should be a stable software update.There is a bug or rather i would say a software issue with all the apps Netflix/Prime Video/YouTube etc The bug is like whenever I'm watching in any of those apps and after the seek bar fades away and then when you try to increase the volume the video jumps/skips 3-4 secs everytime...I'm hoping this is a software issue and will soon be fixedApart form this the product is good considering the priceREAD MORE
Classy product,build quality very goodREAD MORE
Excellent,Writing after 15days use. Excellent product to buy.READ MORE
Awesome,super valuable of money I love Flipkart thanks to Flipkart buying this Nokia TV through FlipkartREAD MORE
Fabulous!,Excellent led' JBL speaker are outstanding.For crome cast by mobile on a single wifi download Google Home from play store.READ MORE
Awesome,very goodvalue for moneyREAD MORE
Awesome,Great product at a real good priceREAD MORE
Very Good,compare to Sony 4k upscaling and colour reproduction is poor. but in this price it is best.READ MORE
Brilliant,True 4K UHD Experience. Sound quality is beyond expectations.READ MORE
Super!,awesomeREAD MORE
Unsatisfactory,Review after 5 months..... Tv stopped working.READ MORE
Terrific purchase,I recently purchased this tv and its performing well and worth for your money...👍READ MORE
Fabulous!,picture quality greatsound quality by jbl superbeasy to operatefunctioning very smooth and fastvalue for money...READ MORE
Good choice,White patches on screen....READ MORE
Worth every penny,such a nice TV. sound and picture better than samsung and sony...4K is awesomeBass was superbREAD MORE
Terrific purchase,i love this brand......😍READ MORE
Best in the market!,Like itREAD MORE
Perfect product!,"Mind-blowing television...great sound, great picture quality, great purchase... Nokia Rocks...READ MORE"
Mind-blowing purchase,I love Nokia.... in my opinion no one product is better then this... love u nokiaREAD MORE
Mind-blowing purchase,Amazing  TVREAD MORE
Awesome,"Excellent product, sound and picture are very good.READ MORE"
Best in the market!,Great work from Nokia & JBL 😍😍Sound quality is excellent !!READ MORE
Terrific,Just superb 👌👌Don’t think ...just buyAfter use of one month...2nd tv buy😂READ MORE
Great product,"Nice tv, value for money. Installation and demo was quick and finished. Fully satisfied with the service. Thanks Nokia, Flipkart, JBL and jeeves.READ MORE"
Just wow!,picture quality very excellent & Sound dolbyREAD MORE
Could be way better,"Main issue with nokia tv are1) there is no phone mirroring, only Chromecast2) it support only 50mbps internet connectivity, where as these days most of the internet provider provide 100mbps speed, which is not supported3) Most Important: somehow my remote stopped working and after making so much effort I am not able to find a new remote on Flipkart or Amazon. Even though the Flipkart is promoting they don't have orignal remote for the same.READ MORE"
Horrible,"Hi friendsI have purchased a Noika tv in December 2019After owing this product I realized I have purchased wrong product and wasted moneyIt have Very bad speakers , seems a cheap Chinese product, sound clarity "" A big Zero ""  few apps like hotstar hangs almost evry dayCalled customer care but they called it is ok, even if they replaced we may continue to have this unclear voice clarity as this is featured of JBL speakersI just want you to buy some other product don't , don't , don't bu...READ MORE"
Mind-blowing purchase,good tv 👍READ MORE
Wonderful,Sleek in looks  with almost invisible bezel. 400 nits brights makes viewing a pleasure even in a brightly lit room. Up scaling of lower resolution pictures is very good. In short this TV will give Sony Samsung and LG a run for their money.READ MORE
Fabulous!,"value for money  , Good  Product  from Nokia  ...READ MORE"
Wonderful,Very GoodREAD MORE
Terrific,Flipcard is gud in service..but installation make late....Nic prodect sound pic qty is gud worth for money 37125READ MORE
Fair,Sound is goodREAD MORE
Fair,averageREAD MORE
Good,"TV is fantastic in picture clarity, sound and performance.However, I found some negative feedback within 5 days as well:1) When apps are loading on empty screen, it seems like tv display is bleeding in the corners.2) Every time you switch on TV, you have to connect with wifi even though it seems connected but didn't work.3) Remote lags with OK and other buttons sometimes.READ MORE"
Worth every penny,I am loving this tv to the core from day one. Great picture quality and sound. Sometime there is WiFi connectivity issues but it is not that big a deal. If you are planning to purchase this tv I'd say go for it.READ MORE
Pretty good,Audio & video lags at times in HD channels. Please look into this. Occasionally TV switches off on its own. Please look also into this aspect. Otherwise full value for the money. This review is written after ten days of usage.READ MORE
Fabulous!,I like Nokia TV my bestREAD MORE
Unsatisfactory,Started getting white spots in the edges of the tv during dark screen. Service quality is also bad. Picture quality is not upto the level. The picture quality of the other television in the same range or lower is far better than this. The audio is good.READ MORE
Classy product,"BAAP TV HAI BOSS YE GO BLINDLY, EXTRA ORDINARY 4K QUALITY DOLBY SOUND JBL SOUND SUCH A AWSOME PRODUCT IN THIS PRICE RANGE 41999RS ,, JUST GO WITHOUT THINK A SINGLE SECOND,,,, I LOVE THIS TV VERY MUCHREAD MORE"
Did not meet expectations,Mirro cast option missingREAD MORE
Very Good,I don't know when will I get the Google nest mini with the product. Please let me knowREAD MORE
Very Good,Nokia 's No 1 Products I am very happyREAD MORE
Nice product,My tv has screen bleeding problemREAD MORE
Worth every penny,It's Excellent TV... Wonderful Sound & Picture Quality but Little Bit Corner Side Screen Bleeding Otherwise Worth It...READ MORE
Wonderful,Ok not bad. Dont expect like to be sony.but descent in that priceREAD MORE
Worst experience ever!,Simply waste.... 😡😡😡😡😡😡😡READ MORE
Not recommended at all,Please do not buy this TV panel quality is very poor.. and there is no smoothness in videos while watching.READ MORE
Nice product,SuperREAD MORE
Very Good,Nice tv and fast deliveryREAD MORE
Fabulous!,"Very good value for money, 🤗😍READ MORE"
Awesome,Far better than its rival like MiTV!READ MORE
Very Good,Value for moneyREAD MORE
Good,Display is bleedingREAD MORE
Not good,SOUND QUALITY  NOT GOOD.  PICTURE QUALITY  NOT GOOD.READ MORE
Worthless,Worst picture everREAD MORE
Fair,White patches on the black creenREAD MORE
Good,CONTINUOUS LAGS IN 4K VIDEO PLAYING.VU IS BETTER THAN NOKIA IN 4K VIDEOS PLAYING ISSUE.READ MORE
Must buy!,"nokia tv is really good in terms of picture & sound quality. thr is no issues to tell, no color bleeding at all for my tv. 1 day delivery and very next day installation. happy to purchase nokia tv. thanks to flipkart.READ MORE"
Good choice,This is an awesome TV. Yes there is minor screen bleeding issue but that doesn't affect in most of the cases. More than 90% of the time you won't notice it. There are few youtube videos where you can find the effect of screen bleeding and accordingly decision can be taken.READ MORE
Decent product,After use of 15 days.Sound is too good.Picture quality is just good.Connectivity is Good.Yes value for money.Google Assistant is slow.lag in video while volume up/down.Expecting overcome the bugs in next update.READ MORE
Excellent,up-to-date. featuring tv...english movie HD channels looking like theater....READ MORE
Good quality product,Overall value for money- Amazing sound quality- Above average video qualityREAD MORE
Pretty good,Remote application note working NormallyMxplayer Antivirus application note workingREAD MORE
Highly recommended,Excellent performance. very nive. Better than any other TV.READ MORE
Good choice,When the unit is wall mounted it is difficult to connect pendrive or settop box wireREAD MORE
Value-for-money,All goodREAD MORE
Very Good,worth money Nice TV Sound quality is too goodREAD MORE
Value-for-money,good budget Nokia smart tvREAD MORE
Must buy!,"very good product, value for money, i am very happy with this productREAD MORE"
Worth the money,"Value for money...Picture quality is very good and sound is awesome. Overall worth a deal.However, only in prime video the picture quality is very weak as sometimes there are patches and screen is little shaking...Do anyone get this kind of problem...READ MORE"
Really Nice,"jbl speaker is very effective, picture quality is too good.READ MORE"
Very Good,Amazing options available. Audio quality is more than satisfying in this price range. Also the connectivity options are decent enough.READ MORE
Must buy!,In this price segment Nokia tv is the best.. love this product.. and the sound by jbl is aswm.. ❤️❤️❤️ aswm perchase.. 😊READ MORE
Wonderful,"Video clarity excellent. Go for it The Nokia. Sound 4k all superb. Netflix, prime, youtube all updated.READ MORE"
Not recommended at all,"Screen bleedingRandomly tv restart during playing Apps (Amazon prime video , hotstar Netflix etc)Not manufacturing by NOKIA , only Branding .. actually made by Skyworth India Don't buy this TVREAD MORE"
Moderate,"weast of money.....i am a user nokia tv.bad connectivity, screen mirroring very bad...READ MORE"
Must buy!,SUPERREAD MORE
Mind-blowing purchase,"In 2.5 years TV got repaired 5 times, in which Complete Panel got replaced 8 months back, again now same problem, Luckily i have taken Extended warranty, otherwise it will be my worst TV. However TV Sound is  very good...READ MORE"
Good choice,The apps are getting the latest updatesREAD MORE
Perfect product!,"Best product, brought it 2 years ago, but now a days it’s shutting down all of sudden in every few hours while watching videos on internet or ott apps , can someone help me?READ MORE"
Awesome,AWSOME PRODUCT VALUE FOR MONEYREAD MORE
Not recommended at all,Don't buy it worst product.I'll write a review after using the product one yearREAD MORE
Don't waste your money,Picture and sound quality is not good. REMOTE not working properly and sound is muted after switch off it is working.READ MORE
Very poor,"Remote issue is continuing,with in a year we have new remote and that is also not working within 1 month.READ MORE"
Very poor,Remote control Stop working after 8 monthREAD MORE
Useless product,"Worst product ever, got display issues two times with in an year and after warranty display panel cost is more that tv cost Worst product by nokia, they are just selling the tvs but no body is there is answer our questionsREAD MORE"
Moderate,Remote not working some timesREAD MORE
Terrific,GoodREAD MORE
Just okay,Slow responsiveness ! Some time some unknown issues came and rectified itself. Overall it’s good.READ MORE
Waste of money!,With in a year remote dead.READ MORE
Value-for-money,"I bought this TV in Aug 2020.The sound, connectivity, app support is excellent. Picture quality is good, since frequency is 60hz bit lousy for moving objects. Takes some time to start. Oveall good value for money. Just ordered Nokia 43uhd for my rented house.READ MORE"
Decent product,"HDMI port not support for the PlayStation Ps 3,  tv showing no  single , I think this tv not suitable for the PlayStation gamesREAD MORE"
Just wow!,"Awesome product.Honestly I highly recommended to purchase.Excellent performance. HD picture quality is awesome. Sound quality is excellent. Every point of view I found this product upto the mark. Nokia endroid system is quite enjoyable. After all combination of Nokia, Flipkart and JBL are upto their par  excellence.READ MORE"
Good,"Tv has bleeding patches on the screen from the very beginning of purchase, tv shutdown automatically in between abruptly,this issue has started to increase,no proper service or supportREAD MORE"
Utterly Disappointed,Motherboard got damaged after 1 year and 2 months of usage without any physical damage to the TVREAD MORE
Utterly Disappointed,display panel not working after 11 months. green led on but screen is black. please go for some other brand.READ MORE
Not recommended at all,Purchased TV in November 2020 and sound/speaker is already spoilt. Customer service team very rude and no technician coming to repair same .With 7 months speaker gets spoilt Flipkart and Nokia need to pull up their socks and not cheat customers like this and provide timely action on complaintsREAD MORE
Good choice,amazing product by Nokia. Great picture quality...READ MORE
Don't waste your money,Very poor quality of product.  Second time I am getting fault in last 2 monthsREAD MORE
Nice,Used for 9monthsNot a worth tvBut just okayishMax be away with this brandStrictly 2.5/5READ MORE
Brilliant,Using for last 8 months and result is quite good.  Specially jbl speaker !!! No problem in connectivity. Able to watch High Resolution video without any problem.READ MORE
Excellent,I have used more then year & fully saticesfied with performanceREAD MORE
Worthless,TV is Nokia and the remote will be form Motorola. Please don't buy here. Its been 6months and im still trying to get a original remote from Nokia.READ MORE
Terrific purchase,Excellent Sound👌 & Good  product  value for money 💸        Tq flipcartREAD MORE
Perfect product!,Almost this is my 8months after perfect review.. picture quality the best quality 4k looking like perfect 💯 percent .. sounds the best quality clear super sound ... subwoofer is superly work great ..8months after not a veek any for the picture 4k and sound all good work..READ MORE
Very Good,"WiFi connectivity not good but overall sound,display everything is goodREAD MORE"
Moderate,Remote problem with this tv pls recheck the solution my second remote all so seam problem not workingREAD MORE
Did not meet expectations,Black patches on screen with screen bleedingREAD MORE
Useless product,Worste experience from Nokia.Display having big spots. Very bad screen bleeding issue is there.READ MORE
Value-for-money,It will get auto off and auto restartREAD MORE
Wonderful,"sound picture quality very good, go for itREAD MORE"
Nice product,Connect to internet after hours tv become automatically offREAD MORE
Good choice,"I have been using it for the last 6 months almost. So far so good, no major issues. Initially, there were some software issues, which has been resolved immediately after raising the request.READ MORE"
Very poor,Simply awesome product from NokiaREAD MORE
Classy product,Wonderful ProductREAD MORE
Pretty good,"Good android tv,it's worth for our moneySound is Good some conetitivity is very poor,other wise good tv.READ MORE"
Terrific,Best TV in the priceREAD MORE
Wonderful,Its just awsome prodcut.. in starting i was just confused that can nokia also make tv.. but i just played a blind game and orderd but you dont belive that its a amazing product.. amazing picture quality in this amount.. i just loved this productREAD MORE
Terrific,Superb productREAD MORE
Just okay,Was okREAD MORE
Classy product,Good Clarity and super soundREAD MORE
Go for it....,Have use it since the last 8 months. Picture and sound quality at its best. Wotrth the purchase. No problems encountered till dateREAD MORE
Very poor,Waste product. Not at all satisfied customer care. Waste of money onREAD MORE
Worst experience ever,Only One Year Working this Nokia 55 Inch Tv. After One Year total Tv Not Working motherboard damaged.READ MORE
Delightful,Nice TVREAD MORE
Not recommended at all,defective don't buyREAD MORE
Just wow!,Shandar Picture quality.Shandar Sound quality. Best that a TV can offer.Poor bluetooth connectivity.READ MORE
Fabulous!,AwesomeREAD MORE
Terrific purchase,Amazing TV. I love it.READ MORE
Worth every penny,WorthREAD MORE
Fabulous!,supper tv i love nokia😆😁💕💕💕READ MORE
Good quality product,Has slight bleeding flipkart rejects relacement but overall value for money guys i use it for playstation so serves the purposeREAD MORE
Classy product,Amazing product 👌 totally awesome.READ MORE
Good choice,Very good for quality picture sound everything okREAD MORE
Simply awesome,Superb and awesome  .hatts of nokia .loved the picture quality and sound excellent  .soothing picture  .perfect and best .value for money with 3 yrs warrantyREAD MORE
Perfect product!,Good productREAD MORE
Classy product,OsmREAD MORE
Just wow!,SatisfiedREAD MORE
Terrific,Tq flipkartREAD MORE
Just wow!,Awesome product. True value for moneyREAD MORE
Terrific,The JBL sound quality is amazngREAD MORE
Best in the market!,Good ProductREAD MORE
Wonderful,Great product from Nokia lucky to own it With JBL tv is fantabulousREAD MORE
Horrible,"Waste product , All time software problem . tV booting take 5 min . Frequent WiFi disconnect ....Their manual is joke . Many movies format don’t play . Configuring external sound is a pain .The Worst thing is support Flipkart will never honour the warranty terms and make new policy to make you PAY for support.READ MORE"
Unsatisfactory,"Never buy this products, received the defective product, after that they are not allowing to buy another companies TV, so replaced and installed, and now there has been big spot on the screen after 3 months only.READ MORE"
Terrific purchase,Value for money and works perfect been more then 6 months nowREAD MORE
Classy product,It is the best product in all televisions. I would like to share my best experience about the product that it has best picture quality and sound by JBL was increased its charmREAD MORE
Must buy!,SuperREAD MORE
Great product,I love the sound it produces... I mean beat by beat I feel something different just like listening in earphone in terms of clarity....If you are a fan of loud sound and enjoy movies with friends with a burst of bass in the movies considering beat drops you are definitely gonna love it... It might not give you complete cinema experience but yes it gives one of its kind with the Dolby sound and power of JBL...Picture quality is also more than good but real effect can be seen on 60FPS while ...READ MORE
Awesome,Only one thing that was sound is very lowREAD MORE
Nice,"Great sound and nice clarity & color reproduction, only drawback I found was that its Intelligent dimming doesn’t work that well and picture reproduction appear too bright & will require manual adjustment.READ MORE"
Terrific purchase,It's worth having Nokia TV as the functionality is awesome and have best picture qualityREAD MORE
Awesome,This is a must buy product... Value for moneyREAD MORE
Worth every penny,Good productREAD MORE
Simply awesome,Value for moneyREAD MORE
Highly recommended,Excellent experience with this Nokia 55” LED TV. Picture quality and sound very good but I have faced net connectivity problem after4-5 days.READ MORE
Hated it!,Don't buy this product as it does not have any spare partsREAD MORE
Pretty good,"Overall good,READ MORE"
Terrific purchase,Awsm sound and qualityREAD MORE
Excellent,Good TVREAD MORE
Nice product,Overall a good buy ...READ MORE
Delightful,Superb image quality..READ MORE
Good choice,"Everything is good except connecvity issues with Bluetooth speaker. Some times if we turn on bluetooth speaker in the middle of something is playing, it is connecting properly but there is some disturbance in the audio,audio is breaking. Need fix for that.READ MORE"
Simply awesome,It is true value for Money putting these comments after the use of 4 months. A broadband WiFi is must have if you are planning to buy a smart TVREAD MORE
Must buy!,Very good TV 📺READ MORE
Just wow!,Picture and Sound quality is really good. Viewing distance is 13 feet so at times sound needs to be put on maximum still the audio output is good. Overall great product vat right price.READ MORE
Classy product,SuperbREAD MORE
Utterly Disappointed,"Frequently HangingSound Quality not that much worthy Automatically restarting over a period of timeI raised the Complaint for Hanging, Speaker and HDD detect issue on Last Monday and Still the issue is not resolved yet.WORST CUSTOMER SERVICE FOR ANY ISSUEREAD MORE"
Simply awesome,Super t.vREAD MORE
Hated it!,TV became defect after 1 year of use.READ MORE
Terrific purchase,Good budget tvREAD MORE
Excellent,Very good product!READ MORE
Good quality product,Awesome Quality ... I can't explain in my words. With JBL sound system 👌👌👌READ MORE
Slightly disappointed,Not satisfied  and  servise was not goodREAD MORE
Best in the market!,"Very good TV, sound and clarity is awesome.READ MORE"
Worst experience ever!,Tv performance is very bad the company doesn't take risk  for return and replacement and no communication between nokia and flipcartREAD MORE
Super!,"Excellent product, must buy this productREAD MORE"
